node_id,count,A,r,cL,word
81,0,93,17623399,6304346142799411120331367123865,1.1.2.1.1.1.1.3.1.1.1.1.1.3.1.2.2.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.4.2.1.2.2.3.1.3.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.3.3.3
82,0,93,13770919,5595989619791742780031771907161,1.1.2.1.2.1.1.1.1.1.1.1.1.2.1.1.1.1.4.1.1.1.1.1.1.1.2.4.1.1.2.1.1.1.1.2.1.1.1.1.3.2.3.1.2.1.1.1.1.1.3.1.1.1.2.1.1.2.5.1.4.1.1.1
83,0,93,12192311,7158761377181367838526510029513,1.1.3.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.3.1.1.1.1.3.1.2.1.1.1.2.1.2.2.5.1.2.1.2.2.1.3.2.1.1.1.2.1.5.1.2.2.1.1.1.2.1.1
84,0,93,14644535,16426873322327618518375161196489,1.1.3.1.1.2.1.1.2.1.1.1.4.2.1.1.2.1.1.3.1.1.1.1.3.1.1.1.2.1.2.2.1.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.1.1.2.1.1.1.1.2.1.1.1.3.3.3.1
85,0,93,17064075,52185042938567666100585334767733,1.2.3.1.2.1.3.1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1
86,0,93,13294249,8866400135155638301716972593239,2.1.1.1.1.1.1.1.1.1.5.1.1.1.1.2.3.1.2.1.1.2.1.1.1.1.1.1.1.1.4.1.2.1.2.3.1.1.1.1.1.1.1.3.3.1.2.1.1.1.1.1.2.1.2.1.3.1.1.2.1.1.3.1
87,0,93,12743081,23144952430330196421880804919639,2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1.1.4.3.1.2.1.2
88,0,93,18560137,7497247677571270987979567244919,2.1.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.2.3.1.1.1.2.1.1.1.1.1.2.2.2.1.1.2.1.2.1.1.3.3.3.1.1.3.2.1.2.1.2.2.2.1.2.2.1.1.1.1.1.1.1.3
89,0,93,19114621,36439222315798692396249728420995,3.1.1.1.2.1.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1.1.4.3.1.2.1.2.1
90,0,94,3873535,4650398671792726967778549211649,1.1.1.1.1.1.1.2.3.1.1.1.3.1.1.1.1.2.1.1.1.1.1.1.1.1.3.1.2.1.1.1.1.1.2.1.1.1.1.2.2.1.1.2.1.1.1.3.2.1.1.1.1.1.1.3.4.1.6.2.1.3.2.1
91,0,94,12600767,4949405711174849322544143513409,1.1.1.1.1.2.1.1.1.1.1.3.1.2.1.3.1.1.1.1.2.1.2.2.1.1.1.1.2.2.1.2.1.1.1.1.2.1.2.2.1.4.3.1.3.2.1.1.1.1.2.3.1.1.1.1.1.1.1.2.2.2.1.2
